               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092844,             0.13523,            0.010296,             0.76199,             0.33656,             0.31669,             0.10046,            0.068367,             0.15513,           0.0021253,            0.070053,           0.0033274,           0.0033274
                   1,            0.077215,             0.13324,           0.0058343,             0.33686,             0.42243,             0.43605,             0.20876,            0.056276,             0.14669,           0.0023841,            0.039987,           0.0065948,           0.0065948
